Distance,TurningPenalty
719.7481730273275,89.11022078738277
657.83168657497,90.35781383218445
762.9421541461157,92.61144355166437
740.4168000116764,91.47356864972258
808.2821258589718,85.190901386753
777.713361879225,91.80355217403394
691.2443979961944,98.04029107897594
828.0793219892224,87.30266117939773
748.9896673377137,82.78797572951764
786.5632604665209,89.71393669018758
750.9996479057428,86.40417153135431
605.3390855177963,93.13931666414476
752.3534203929268,84.60305996303592
723.732182806088,89.76661620930496
696.0266683951049,93.19145567175018
785.2291070403942,94.13161868616821
735.006210961032,93.92469300291728
800.2276049013424,96.1125962183062
720.0611056325021,90.78344641613957
677.0399587723788,91.94606435824232
762.6665592188075,90.20889691978147
708.725376869665,100.96099367166228
752.0225231898308,87.03606774115268
674.442503097433,82.92938323030167
735.006210961032,86.07107421387975
741.3017590984211,83.51806329754754
698.9024643050484,100.45575648071957
720.2848514110362,88.28552560077789
670.5739418978619,99.13818359263173
786.7094234905435,100.51413876728971
621.973822198701,95.31513341749294
718.9704420675791,92.85427412720831
766.8176096205465,85.54068510765578
789.9588595448466,86.01777469591121
717.0515093741169,87.53437524423124
694.3340348839129,91.56877388151406
752.698040016936,94.78146315031873
678.1540622211744,92.1282629428477
700.5189909972113,96.86542529971663
769.8282923899782,93.96567026180693
805.1051855427429,89.59709535505365
622.6455311860342,91.71003458663846
698.5691226584981,95.81737502478981
689.2214220781958,94.74003221296894
825.1466128297089,78.38882020934466
801.9226875126947,90.52477508424829
807.8855756877422,94.5599177095383
675.7413349855169,98.4530850372862
766.0688561103512,87.63329077393857
715.9410646414885,89.23431208976329
731.9636774010878,87.62995353182765
707.3155852037555,96.32761103872437
689.8001789146748,86.22440923585096
770.7326211449113,89.99762403161839
702.2624455957407,100.2072791590505
744.6716043289844,87.6050981578779
751.4942857409001,103.95009977919568
735.8253572932068,92.07022559240652
743.9359003207398,100.06604564158228
690.776490616976,92.56188173641748
703.6977700407465,99.9089585770819
684.273159302903,94.65407190753912
656.4098632478746,98.35268545020932
751.2726888782995,93.3189287503658
637.8215417773569,88.20787597018996
709.5741732923815,99.60224684071169
740.0012195887363,97.95440441432797
742.9483428817075,84.6979395442003
812.2740658190862,98.56022231281936
788.3905667540275,88.36208537815934
763.5730167403,87.5646024061101
658.4376684661082,94.88953724607138
745.4687885316791,96.19742667550427
699.4812211415272,77.43251178995446
678.054228762868,90.80770673448782
660.7326211449113,93.13913504493325
839.9835537639707,85.41604677635307
745.1906410741097,83.54549007200951
744.6671353943556,91.5919528442681
657.4111418957546,89.98042336783813
687.2354365436402,85.7492655090173
682.1763747523383,90.28145957635057
726.7610218217311,91.7834822397215
607.1867355525102,101.13410544828258
777.0764031836441,95.03190615285874
749.1917001414836,86.26891869426153
760.504048813689,85.75640396658694
682.6812368271945,106.48995405533003
629.7718216707524,98.8336751384646
762.0395766133602,94.01905433409445
717.6226405099853,94.40739992354167
717.4399662294629,87.22495538126168
727.7269903474536,81.86040184299621
660.646550301509,99.98840695191028
811.0507550828145,96.55993369433702
714.5655667090715,94.66438853343426
733.2062638748603,100.14968610111356
748.5423646936247,83.83974223020883
781.5743055522589,98.87163318193488
808.7556875249169,75.68137398523058
743.6218055309853,96.19063310046114
733.3329821897115,98.69512326400996
712.4008940724218,94.7119373013283
662.4211248427899,97.70926718420749
735.8522282349194,102.36321522544436
717.076403183644,92.0949754643023
797.5083310225535,84.07958455476187
635.925190751513,95.85557127426323
718.1019015621928,100.71358579029237
672.584708043623,102.71683129414566
740.2685511648493,89.92876754454922
668.4766375974298,86.57276152293662
756.0319095750565,107.11427254955473
733.4224034906699,85.42765637875979
729.4295777601797,100.1390205631507
701.1274781303312,95.11680674607967
687.7382673343297,85.14366228505232
