Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
5,0,1,6,7,8,2,3,4,9,14,17,16,15,10,11,12,13,18,24,29,28,32,27,38,33,34,39,44,49,48,47,42,36,35,30,25,20,21,22,23,19,26,31,37,40,41,46,45,43
37,32,31,27,22,21,20,25,30,26,38,44,39,33,34,29,28,23,24,19,14,9,4,3,2,1,0,5,6,11,12,13,18,17,16,15,10,7,8,36,41,45,46,40,35,47,43,48,49,42
37,38,33,32,27,22,17,18,23,24,19,13,9,14,12,11,5,0,1,10,15,20,21,26,31,30,35,46,45,41,40,43,48,49,44,39,42,47,36,25,16,7,6,2,3,8,4,34,29,28
28,29,33,38,43,48,47,42,36,35,30,31,27,32,37,21,26,22,17,18,19,24,23,12,11,10,15,16,20,25,41,40,46,45,13,8,9,4,3,2,7,6,1,0,5,14,34,44,39,49
27,28,31,32,33,34,29,24,23,18,17,22,16,10,15,20,21,25,26,30,35,40,45,46,47,48,44,49,38,37,43,42,41,36,39,5,6,7,1,0,2,3,8,9,4,14,19,13,12,11
24,19,18,13,14,9,3,8,4,2,6,1,0,5,10,15,11,12,17,22,23,29,33,34,39,43,38,31,26,25,20,21,16,7,27,32,37,36,41,47,48,49,44,42,46,45,40,35,30,28
43,37,36,46,45,30,31,26,20,25,28,33,32,27,23,18,13,8,3,4,9,14,19,24,22,17,11,16,15,10,5,0,1,7,6,12,2,21,35,40,41,42,47,48,49,44,39,34,38,29
21,17,16,15,10,5,0,1,2,3,4,9,8,13,18,23,22,27,28,34,33,39,38,37,32,31,30,25,20,26,36,41,42,43,48,47,46,45,40,35,44,49,24,29,14,19,12,11,7,6
32,28,23,13,12,11,6,1,0,5,10,15,16,25,26,27,22,18,19,24,29,33,37,42,45,41,46,47,48,49,44,39,34,38,43,36,30,31,35,40,20,21,17,7,2,3,8,9,14,4
45,40,41,37,32,33,39,34,24,19,18,13,8,9,14,28,27,26,31,30,35,36,42,47,46,48,49,44,43,38,23,22,21,16,15,20,25,6,1,0,5,10,11,7,12,17,4,3,2,29
