Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
29,34,39,23,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,25,35,45,17,14,18,6,41,5,15,37,28,32,31,24,16,40,48,10,46,30,36,33,43,49,44,42,47,38,19
29,34,39,23,22,36,21,1,20,7,11,2,26,8,3,4,0,13,9,12,28,24,48,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,27,33,49,43,44,42,47,38,19
28,29,24,20,39,36,19,8,27,44,32,34,13,35,6,1,22,3,4,0,9,12,7,17,37,18,2,10,5,49,16,25,26,11,14,40,45,41,46,31,30,23,33,43,15,47,42,21,38,48
19,29,25,34,39,23,45,37,27,21,26,9,7,11,2,1,8,3,4,24,20,41,12,17,14,42,6,10,5,35,36,0,32,31,15,22,40,28,46,18,30,16,33,43,49,44,13,47,38,48
29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,17,3,4,0,9,12,13,18,14,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48,19
23,24,34,39,1,28,22,27,45,26,20,7,11,2,29,8,18,3,4,0,9,12,13,17,16,6,10,5,21,14,25,43,35,37,40,15,41,46,44,30,36,33,32,49,31,42,47,38,48,19
29,24,34,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,16,32,10,5,15,39,25,30,31,35,37,40,45,41,46,36,33,43,49,44,42,47,38,48,19
29,24,34,37,23,28,22,27,21,26,20,7,11,2,1,4,3,8,42,36,13,17,14,18,6,39,30,10,5,15,16,25,32,31,35,40,45,44,46,12,9,33,43,49,41,0,47,38,48,19
19,29,24,34,39,23,28,12,27,1,26,11,7,20,2,45,8,3,4,0,9,22,13,17,14,18,6,10,5,15,16,25,49,31,35,37,40,21,41,46,30,36,33,43,32,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,35,37,40,45,41,46,31,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,16,14,17,6,10,49,15,18,25,32,31,35,44,40,45,48,46,33,36,30,43,5,37,42,47,38,41
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,35,23,31,22,27,21,37,16,7,13,2,1,8,3,4,0,9,12,11,17,46,18,6,10,36,15,25,20,32,28,33,26,40,45,41,14,30,5,39,43,49,48,42,47,38,44
19,36,14,34,39,23,31,27,22,21,26,16,0,1,2,11,8,7,4,3,9,12,13,17,24,49,6,10,5,15,20,25,32,35,37,40,45,41,46,28,30,29,33,43,18,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,29,24,34,39,23,28,22,27,21,26,20,7,11,2,1,8,3,4,0,9,12,13,17,14,18,6,10,5,15,16,25,32,31,35,37,40,45,41,46,30,36,33,43,49,44,42,47,38,48
19,25,24,34,39,23,9,22,27,21,26,20,7,36,28,1,8,3,4,0,44,12,38,17,14,18,6,10,5,15,47,30,32,31,35,37,40,45,41,46,29,11,33,43,49,2,42,16,13,48
15,18,21,34,45,23,28,22,27,24,26,20,7,31,2,1,8,3,4,0,9,12,13,17,14,29,6,10,38,19,16,25,39,11,35,37,40,32,41,46,30,36,33,43,49,44,42,47,5,48
