Cluster,Trees,Distance,Turning,Elevation
1,65,185339.4019033292,158.04583872187723,33.945826865760964
2,70,104800.2021806858,173.34472943257452,33.24138941937904
3,65,156773.61738621484,149.62014396055787,32.75622391235015
4,75,141679.19285864726,186.39836929375417,33.10474750736278
5,78,154083.4579545319,164.7179165308464,33.177191607236374
6,67,157428.73682535754,163.17067555659145,32.584384531376486
7,74,174873.9158451055,167.53873240770625,32.68652803176385
8,80,134978.87300814028,187.95248195703434,33.33250481421268
9,68,193792.80332031456,168.903436855972,33.0855487792934
10,66,133755.7681891545,157.5549003866892,32.92609619396286
11,73,191885.1595721515,180.62997519094736,33.726163324909464
12,57,125639.82724959815,134.93209497940305,32.94604371951381
13,74,132487.41403320938,185.0234959424944,33.39122616917798
14,74,181646.31023303152,156.77698880451155,32.62604699198364
15,70,156294.4368561952,169.40120527570286,32.99501211680279
