Cluster,Trees,Distance,Turning,Elevation
1,74,1310.225903832998,70.24697106242286,0.6508628291191361
2,58,1021.8280930905102,53.56653918468622,0.44358271181457454
3,54,950.1014391393813,43.96492422934448,0.5128176559412019
4,71,1255.1465876337907,61.846818532097195,0.7091445607760161
5,54,947.7537919103909,49.3307578330145,0.6859952324618952
6,61,1089.6713507279503,54.638344178702354,0.5435043439971814
7,58,1036.3801121744564,52.37673574281573,0.5588937843209756
8,45,861.2670180927988,36.774990667654386,0.6368201304029562
9,50,893.0852272521307,40.99059987559116,0.5452581794093554
10,58,1059.5357710144604,50.23371633478605,0.6465687171254562
11,66,1177.3255219297487,56.67098532214344,0.817438577278903
12,55,981.9794670962756,49.606287842291394,0.5318820519635796
13,65,1159.270298177056,56.58080661018993,0.6160816723948255
14,51,909.895219214978,39.83095213495316,0.45343510113443486
15,59,1053.3743414114942,39.93290632320837,0.46003904928889483
16,55,1002.5184951806629,40.87191263863208,0.8060480404852459
17,60,1090.0827686475398,49.3122476625007,0.711115307342622
18,72,1305.7718511843889,66.71536108719194,0.6413298007929846
19,57,1003.4178763772707,47.2722529257952,0.509046765879301
20,77,1364.7249776056806,79.68805101536203,0.506989111783211
