Cluster,Trees,Distance,Turning,Elevation
1,74,1421.1986665536062,132.57085297787668,0.6955026737877912
2,58,1254.582830824511,85.47253701898471,0.7025629835903011
3,54,1048.77943213095,90.92409845825718,0.49690150447528225
4,71,1477.6195678981023,114.15548121090637,0.9279834710423724
5,54,1052.1387422385321,86.02465560377726,0.6953881986702726
6,61,1203.4388065910946,101.28725357105233,0.6002474539118339
7,58,1174.4898394526176,94.79022946573615,0.5518755603313608
8,45,886.0133423739802,78.05365471731274,0.6689969985737854
9,50,974.006025309065,78.3911571221941,0.5302157049549088
10,58,1135.26469725567,94.96370336076883,0.6382246814357639
11,66,1326.8777351797046,108.44328587054143,0.9138095044394596
12,55,1075.0788190097978,87.84636332738427,0.5685053263910138
13,65,1329.4579094239496,105.33290644856832,0.7146550381725394
14,51,1010.9867028945055,80.5090295907011,0.4404190337466787
15,59,1215.7456263065524,94.2669291168772,0.4845521451189292
16,55,1064.9242777622335,91.06554607360586,0.6923615584438796
17,60,1136.2328124982143,99.06725223526084,0.6561901548836975
18,72,1439.467119660393,119.98056596248139,0.747297467198198
19,57,1113.4286265600495,95.3179790800813,0.5026433142660665
20,77,1603.0216767237212,123.5391732397965,0.579779046750188
