Cluster,Trees,Distance,Turning,Elevation
1,66,1180.7436788049802,66.55217037220044,0.35120097593109456
2,67,1209.5650633370667,60.91568573934812,0.2910031921798666
3,72,1323.587348677439,66.03462624507462,0.3509492663095024
4,75,1341.12700826636,60.074172550643766,0.4667169989743911
5,64,1171.9354601129046,59.81175014566844,0.3333889415081561
6,74,1307.1826192899289,76.33803031270887,0.2975592679635568
7,61,1064.9714517687178,64.64505658812676,0.2642089114765209
8,57,1027.3669697017258,47.45559877696582,0.420108593763155
9,67,1174.4096985311646,63.52710510399698,0.8252443721543745
10,56,993.4888431171186,52.99799755643841,0.8068305337860942
11,73,1291.1634150509856,72.41259328338565,0.2489518672782225
12,72,1284.4963006502467,74.35120300646442,0.3337417365681379
13,79,1429.9732391283203,67.41896962860703,0.40129165080759677
14,68,1200.6153083472002,60.85508951845733,0.33135496413356336
15,78,1399.1962706071158,71.40505030379063,0.3391525109299405
