Cluster,Trees,Distance,Turning,Elevation
1,60,1177.1146731540573,98.76159541740753,0.25703025029639726
2,75,1525.2601510535476,126.83157405242966,0.39811979085448357
3,65,1290.39186173258,104.75052170390013,0.3326876077105041
4,68,1363.7529495120962,110.72462489842033,0.4196906164563483
5,67,1319.742366505568,109.2546490706828,0.36140324861413475
6,63,1250.9601481839748,102.64641987773909,0.3052401752249825
7,61,1213.2678458210514,97.3043452789236,0.35856857417988763
8,72,1495.3159473697583,115.76415334093825,0.42303452693373167
9,62,1183.5978030689494,111.36830064776686,0.29733850291759545
10,60,1161.0814259046851,101.29276712217406,0.567956971238786
11,69,1336.020048556216,122.12651330432371,1.016728894717886
12,59,1265.0590153954715,86.73869983508155,1.004215019309287
13,79,1616.302779395428,137.12112118897485,0.35173161357061744
14,64,1223.6061108790357,109.51266958945338,0.2513169355094611
15,67,1333.441759408796,109.20055837999939,0.30904141207125946
16,67,1294.416381841359,113.8423024517713,0.31815111342905844
