Cluster,Trees,Distance,Turning,Elevation
1,46,924.8655177511368,69.5948456552657,0.35728012537363796
2,53,1040.727290370258,87.43088846553928,0.5465451680830125
3,58,1184.7187094901626,90.07104409791258,0.6574915417262464
4,59,1231.192330486542,89.9006061719343,0.8559878383549204
5,51,981.2093739201246,81.28580338874698,0.5228994795894071
6,73,1584.7776954700616,112.35224905088643,0.7423918898312714
7,49,917.7052565533935,78.91515752696844,0.6557984916059709
8,47,906.2481623620675,73.60461386819789,0.4607469636307293
9,67,1402.0889873121444,101.17139311610023,0.7941134677984127
10,67,1375.3700642038482,106.4169173382874,0.9643092402933586
11,60,1174.4467179082258,99.81859830785594,0.6941724381162757
12,57,1160.7391601351578,90.65405465382578,0.6190188043116809
13,75,1530.0903266228893,125.7128504645989,0.6016241512770364
14,53,1072.7166735669832,87.02867117366644,2.026784054183473
15,54,1049.7183907351791,90.36862632363193,1.561947137396988
16,57,1063.9981410992648,94.80883129471799,0.6497971060071634
17,56,1076.2579009602432,89.92599184185111,0.5220903313003795
18,57,1186.1504658897136,86.8990802543976,0.6307352063001108
19,53,1043.3413190908416,83.49688920000025,0.47741015484079163
20,49,874.45389804329,84.78318216859022,0.3477776322487074
21,59,1168.4299459872148,92.8981941045499,0.536258767729672
