Cluster,Trees,Distance,Turning,Elevation
1,66,1263.0242936930367,110.61753091305995,0.4014515811703898
2,67,1407.922260563698,105.59947022912682,0.3317071015665132
3,72,1414.083739969705,118.49197596758864,0.37528516406866075
4,75,1474.657464689893,129.4418819611634,0.4703951495981151
5,64,1232.4753403530672,109.2265042118691,0.3518865834677616
6,74,1517.6261296281061,118.05774355077497,0.3577560439915075
7,61,1185.9550590184037,97.37497505862707,0.2955770728008229
8,57,1111.078220563713,89.42033508266312,0.4661815830224416
9,67,1252.5386102996226,115.08711882593587,0.9281227049142853
10,56,1056.4188566522641,87.69641343452261,0.7274590516438302
11,73,1434.7084899262807,121.74644386718907,0.2785553495105688
12,72,1446.3844568227582,118.53318218179858,0.3542362989095498
13,79,1570.5683381388392,127.67476145496377,0.41086467978623986
14,68,1315.888172783376,117.51269310235287,0.3100585478607094
15,78,1641.6378465149326,117.66613620753289,0.48316468366429
