Cluster,Trees,Distance,Elevation,Turning
1,66,2157.7542111011257,0.6663573405885916,51.24736376769697
2,67,1938.14065632413,0.4386507025707811,56.68491833870177
3,72,2035.0717470940006,0.5451301120522096,73.485679191633
4,75,2263.177411456408,0.7749819380721554,68.65407063052157
5,64,1871.258572833464,0.6774394502600973,56.22416986977241
6,74,2298.345478229963,0.5335232770943961,71.2724343882159
7,61,1809.087507534326,0.46893034240249243,57.11262890550509
8,57,1505.6648662404477,0.6386212283879811,45.61244559309933
9,67,1927.3354563825778,1.2092988710768378,69.16827777256358
10,56,1606.4514062943563,1.3103168766373408,50.376908902904376
11,73,2258.203563265261,0.46694637241797565,65.63464559428505
12,72,2158.9438859071997,0.5809642406023858,61.00501058493193
13,79,2562.4944483034456,0.6860471210791097,66.95175093126637
14,68,2037.6240066593723,0.4597202658525781,59.96109119450617
15,78,2655.5536095805323,0.7848673116147662,71.31969124608541
