Cluster,Trees,Distance,Elevation,Turning
1,66,1225.3777330617918,0.3641940665807031,68.16239539277414
2,67,1187.887281652015,0.3005942841125542,66.33159100177832
3,72,1329.032175563181,0.32993029103633376,56.909337977790905
4,75,1351.7995949510516,0.4751369935883396,65.0313887106979
5,64,1142.310173378587,0.30641413802969986,57.81275405640447
6,74,1322.9855028037916,0.33426420690763337,78.91047415064249
7,61,1097.6077115378177,0.27548936245126576,70.19071215385506
8,57,999.992709127751,0.4164887524494336,54.642140666347196
9,67,1178.8593678811185,0.775890403479865,64.25580624473093
10,56,1003.758390392146,0.9266840173159672,36.92410485344463
11,73,1307.7800424548132,0.2422967348746603,67.80059696562114
12,72,1285.917984471013,0.3266693129710472,72.88829010301927
13,79,1454.650503940704,0.4091393886698782,84.90093437898744
14,68,1215.139732400979,0.2584734552861576,69.3145582761237
15,78,1444.8070248406525,0.4535033773688024,70.36300585879948
