Cluster,Trees,Distance,Turning,Elevation
1,65,213944.15921714477,95.3872612561431,27.660716101497492
2,65,137731.0492789982,90.32374782369419,27.16135044474646
3,62,188439.3980285235,94.56534478239945,26.857649498850066
4,65,170057.96272153073,106.80186225645292,26.887917538068983
5,60,139767.81980828178,96.87972356176822,27.007417292456445
6,67,192934.01828343116,101.10265517301664,26.795819474290774
7,71,217203.7903231447,107.76182729376174,26.825700892866536
8,67,164640.48328890224,102.58779547970566,27.16212267228355
9,68,246202.6098878128,88.43517003169595,27.198845794635822
10,62,152777.2615421674,85.37477846169418,26.85350426464351
11,73,255239.2416349906,117.60133143915206,28.311234011057902
12,61,168900.60011293,89.17808893971277,26.903835104230517
13,70,170322.68251407187,109.57113384850808,27.313488340187384
14,73,215077.24640692372,107.60472766847268,26.67916543900673
15,65,194526.52716905734,95.7356278531286,26.892013800080008
16,64,162924.54937691093,96.42408108490358,27.035602638049752
