Cluster,Trees,Distance,Turning,Elevation
1,65,211127.82695254244,97.10634204330154,27.50955830083962
2,65,148430.64880918487,101.9113377011211,27.197261233232524
3,62,198172.48050689074,93.94147285081043,27.139253317408993
4,65,161408.1394966945,90.4293410651153,26.937606045398653
5,60,152260.9003855767,95.27591403562492,27.103798124879503
6,67,199214.36716041568,92.31284498022855,26.785232860928147
7,71,211069.6680546345,125.82006339272753,26.812232201459196
8,67,156046.81567185788,91.33890107609247,27.198080045548203
9,68,251920.0633692042,101.88438410716742,27.271038327278276
10,62,165852.75066775442,101.99346446376195,26.920839657831486
11,73,247543.4049323839,108.02815468536872,27.844384928149086
12,61,153195.56267845718,102.50283694787656,26.835655459221172
13,70,183085.05978701348,106.71731141567247,27.472925027131645
14,73,229314.91239757187,115.80021373149566,26.68080749460519
15,65,184455.0376952783,100.81586367418055,26.934460429235273
16,64,150372.89198591752,80.53654876821456,27.005571914252045
