Cluster,Trees,Distance,Turning,Elevation
1,65,225978.43127846997,97.51721590882032,27.799084771621654
2,65,136764.15342353657,91.25599394838251,27.1320711874179
3,62,164410.54208809222,94.82390926013943,26.84699940482807
4,65,188575.3319473627,96.11711056359837,27.110708066008804
5,60,150921.55514686933,94.74521444425291,26.9728732050569
6,67,205754.83712802143,98.36670686112792,26.82714936817286
7,71,226526.24089740115,108.3286664252798,26.813936105474653
8,67,159189.8190638845,109.74468903139409,27.237166278109598
9,68,248380.44795386516,108.83901403798774,27.194312531840517
10,62,162895.45761650623,95.53638680177694,26.993276347573563
11,73,219889.3217055197,117.31393274039507,27.57985707464998
12,61,162847.51349132555,90.08169990967303,26.948165543808784
13,70,166863.25735308867,106.04773606258546,27.275617194459215
14,73,236000.80303870712,107.85719586998246,26.633442657163798
15,65,181010.61457271324,104.96054731947727,26.90055384786467
16,64,150035.03951720154,111.16301703587436,27.033291227988116
