Cluster,Trees,Distance,Elevation,Turning
1,66,1166.3393126457083,0.36489213513210395,70.20221263369224
2,67,1212.4884985147255,0.28074186499205034,60.12037729854369
3,72,1310.9465189958044,0.3771415657373076,76.3639792074696
4,75,1355.781395005548,0.4047851980909343,75.54244378264843
5,64,1140.1664840851208,0.2937275212956525,62.98560167957821
6,74,1337.4444532285413,0.2983989446595565,68.52562581780892
7,61,1111.9123677497746,0.2835700753974262,65.2055463791981
8,57,1046.210315818865,0.46193074919600896,52.0542433851654
9,67,1210.707190909952,0.7950130281635115,52.57531936638736
10,56,1000.0776657216554,0.8132647494917791,48.411713964456354
11,73,1326.160097168855,0.3107309379662162,76.049078505602
12,72,1286.3658759998034,0.36799262148038814,71.63499635148293
13,79,1432.027873842778,0.37645020676224306,76.8824782682509
14,68,1221.174028081774,0.2958490601202861,69.26640065403362
15,78,1379.1061365492246,0.39006304105059364,85.8484290999007
