Cluster,Trees,Distance,Elevation,Turning
1,66,1194.710203743414,0.358672426543551,69.39694335954438
2,67,1211.283508968265,0.2904026459060116,63.17321792578442
3,72,1328.158511280266,0.3840762372188422,57.69072873414211
4,75,1325.6202584971295,0.46417051907375395,78.78224352291441
5,64,1172.0579938859182,0.28109099810800764,66.91416146326488
6,74,1342.2213195317343,0.36863552921487397,62.32001061890469
7,61,1105.2466698261364,0.2590252366279753,58.85590855925187
8,57,1014.1952123428198,0.36141375423080113,48.550762245636854
9,67,1190.2833222157176,0.8092082189503831,77.65007673587814
10,56,1001.1867857889099,0.7186079259034344,44.1913749127788
11,73,1306.336638168195,0.26914039410759116,77.0658630757295
12,72,1274.9832825864112,0.32433339850545373,70.2605758219719
13,79,1430.9801503955807,0.37610595143596726,71.55466701601794
14,68,1201.3091993417206,0.26493071699088944,67.16143548147309
15,78,1380.4762428247388,0.3756916001452719,78.54144656468019
