Cluster,Trees,Distance,Elevation,Turning
1,74,1336.4506920290735,0.6080759303175878,78.65047207847142
2,58,1035.569067986898,0.5062721789146565,46.387239159190315
3,54,949.890249789962,0.4189346821721358,53.40531881023771
4,71,1266.309173958846,0.7363673390795658,71.31357762920489
5,54,962.4500296807779,0.5298167479230322,40.64358927917543
6,61,1089.554952097915,0.5511777976349457,63.98417503305629
7,58,1054.5022215029549,0.4775526362115734,43.17743142426829
8,45,895.9921712165602,0.6893143313898413,40.90554443666379
9,50,906.3039139178868,0.5776727748903063,37.81681065644757
10,58,1022.8732225406851,0.5845845545197275,63.83006420536343
11,66,1216.266053471003,0.8926703569008225,62.95790246224617
12,55,967.630305055485,0.5525210003001018,55.726739934098234
13,65,1172.77318899396,0.6280954897524698,71.30078535484691
14,51,897.0477916122156,0.37240721648767305,52.368233255162515
15,59,1056.0005937486624,0.40510722992372195,59.32644307005457
16,55,1010.7183076835346,0.7982265490048963,41.06141919516185
17,60,1072.5196380440593,0.590592971715937,55.60912901181808
18,72,1285.7916002629045,0.6833473654355764,61.77336944835434
19,57,1059.7160526284779,0.4478396535570859,46.21486161598225
20,77,1377.3069334947588,0.520827629919209,78.50398042358637
