Cluster,Trees,Distance,Elevation,Turning
1,66,1780.1068084878505,0.4430170657222501,71.83973624034896
2,67,1812.494290186826,0.45785586212261187,61.347679829591776
3,72,2176.8653799717367,0.4943530295858096,73.60027579515811
4,75,2177.9193917276416,0.6879003177281575,79.30024502431642
5,64,2047.5988405356754,0.5434611149148747,64.54891250762928
6,74,2001.61319133735,0.49312053082292806,73.48333233037668
7,61,1852.6087159028361,0.4494422449522464,53.830258505612
8,57,1644.5503906915212,0.6594218403120902,50.70298870576456
9,67,2318.011272500369,1.799556981392394,50.93664366833722
10,56,1711.569439867143,1.3806350288499196,51.35759652101051
11,73,2109.3093673555622,0.3844520215300342,65.47185193666525
12,72,2467.5174967247367,0.5736625954498304,64.28873269621916
13,79,2451.5079408116676,0.6682484829047404,82.0289063315295
14,68,2040.3843369313886,0.4985062984728863,61.43157584382469
15,78,2416.7127820095125,0.7434121437593628,76.12951396456882
