Cluster,Trees,Distance,Elevation,Turning
1,66,1837.0384511097393,0.4943139538186099,65.11100453002922
2,67,1826.0532834097085,0.48051849473065467,67.63080889147902
3,72,2104.7640316045236,0.5386829153003916,68.0257087645511
4,75,2561.6393456114924,0.8901181161573177,69.81623078197491
5,64,2036.4501687147695,0.6528623885806031,60.88701891284802
6,74,2325.7700445071887,0.6484613249972746,60.91824152699197
7,61,1707.4765952417831,0.3596639299443414,55.05611938908745
8,57,1782.3552895430948,0.6699772074452124,47.12683988952588
9,67,2024.2222635554917,1.3987571876013103,65.21600197989488
10,56,1344.7659080480853,0.9645335571008609,47.38842934087893
11,73,2151.4478312422493,0.43332103598839566,73.70763915053351
12,72,2226.2665360909295,0.6106102190628722,78.42766314438596
13,79,2393.84904264336,0.7141172270918474,78.11675337779799
14,68,1850.1732428835815,0.3980945131950726,68.79490383426511
15,78,2357.9516614321346,0.7094011612780573,77.608306776627
