Cluster,Trees,Distance,Turning,Elevation
1,65,224347.96581225557,90.163416517213,33.95680226363935
2,65,133242.5178209652,100.45486553875202,33.11378268031084
3,62,183800.98663050993,119.0161036173572,32.967040798316404
4,65,187383.86585771362,95.91037502478714,32.957970642126085
5,60,161080.02000154753,89.25062939865637,33.03352897722441
6,67,189898.26987723316,94.33470224814901,32.75250659432883
7,71,233978.55089725804,104.06739496461994,32.85933676082044
8,67,151830.9222671773,101.3852993781955,33.147566220054856
9,68,244678.40210606265,99.92865698671322,33.28197825872
10,62,165628.80862676573,90.59480890622461,33.03957455629362
11,73,258175.42228538898,108.31608319439012,34.08275834440734
12,61,160985.78345528524,100.36662832721632,32.99890611870357
13,70,168666.1395740715,100.45459272770394,33.32459588069122
14,73,252619.10136565508,96.27233906447174,32.752403081024376
15,65,200938.10856723113,99.41746013863802,32.957646684766004
16,64,163042.71507407122,90.90033878793959,33.132145542004544
