Cluster,Trees,Distance,Elevation,Turning
1,66,2021.4309807759985,0.6122765444168596,64.00772582719806
2,67,2267.8216379983924,0.5426451315244538,55.28254992081247
3,72,2116.3158416780025,0.5454453170192686,69.1366718154574
4,75,2223.96267795548,0.7774703671424774,68.80525524800254
5,64,1903.530399267826,0.563738765050795,56.424482261615346
6,74,2163.6942208897503,0.492496626409892,68.02124107750622
7,61,1609.1060035074265,0.41148805359134677,50.355653819665456
8,57,1502.6395380572833,0.7641883528378823,54.76896182365182
9,67,2105.734817051564,1.467235286486419,62.2990109557906
10,56,1586.6258803223404,1.159867428799636,48.6191976298802
11,73,2142.8961213263933,0.4567810597350963,55.82123421588691
12,72,2261.2533028376615,0.5536594628811908,65.21043474134588
13,79,2396.731225160748,0.6133180425274922,72.31874241965906
14,68,1818.7726076873619,0.41894172352724723,72.7877857953285
15,78,2541.9704704941996,0.8527356884180097,82.59621367746152
