Cluster,Trees,Distance,Turning,Elevation
1,65,191465.3432423012,71.00490271256612,32.891587391601206
2,65,125247.85873962285,60.74837644889521,32.94533888437198
3,62,168881.76522153846,60.104643344602394,32.610918795626205
4,65,147806.47932985733,63.762336556082104,32.66562276370817
5,60,122498.68641382575,79.28048730492196,32.73161517839258
6,67,191265.30454594328,50.82713575438089,32.52558337503194
7,71,206495.69894083115,72.58022329718096,32.6320803428619
8,67,121483.91764158022,78.67734186602578,32.85981543591617
9,68,223869.97371495285,74.5104186008173,32.47913062204899
10,62,140552.74874916475,58.21979816214089,32.80572882663695
11,73,200117.41085337792,78.89703011033069,32.72634115427958
12,61,149110.6946786273,58.126605467583595,32.68427010409658
13,70,155052.88452526217,59.16380323205455,33.05203475463591
14,73,195912.65713652447,77.34998465856152,32.472382929890195
15,65,166062.48677937547,63.312400191637536,32.65445604694803
16,64,123584.64680672543,63.70208945719677,32.814691663278175
