Cluster,Trees,Distance,Turning,Elevation
1,65,275820.2147697888,44.88520414436557,27.264351864322617
2,65,165719.2637076084,52.899815064197504,27.038057587731863
3,62,200805.52046203654,59.88699040699016,26.695987795878764
4,65,206797.91924280996,62.072295007547346,26.721631170885075
5,60,197370.84392533114,42.61320430993522,26.86048591353387
6,67,219646.3460005488,60.52340365507515,26.638433280431016
7,71,258787.98917474254,66.59264928702785,26.614685114721034
8,67,171758.45342160945,61.823936627135495,27.015171618665782
9,68,279785.54728800885,64.21410671302642,26.879562146589933
10,62,191673.63225576415,56.88525389655895,26.755178034460116
11,73,276594.1404166681,63.78469303681236,27.634109668370265
12,61,195599.14009699065,43.648892254312756,26.783581983840705
13,70,201073.98898540868,73.60113734048888,27.151089170654544
14,73,322391.0009622157,53.02857925963104,26.598549683171605
15,65,220935.47967854605,50.95543412575798,26.75597657376842
16,64,200053.67181522085,50.44040098964302,26.859877629562526
