Cluster,Trees,Distance,Turning,Elevation
1,66,1862.0988460851654,91.33657403751826,0.38700377564215493
2,67,2168.418125957376,75.6870808276937,0.3483383354631133
3,72,2357.0661197969484,91.17851315150025,0.4412855133881415
4,75,2525.723849171323,84.70787698752765,0.6912265324337383
5,64,2082.0786538882303,83.74612192081018,0.4636559220586154
6,74,2409.245320911421,90.13683606872411,0.4069621733682496
7,61,1631.2036119127174,95.98126088155121,0.3118410587818037
8,57,1663.5659673950838,72.31979612871721,0.6233315189965669
9,67,2373.038275188918,87.06177265701403,1.338062408921319
10,56,1512.8248943484823,77.34581723999771,0.746786734421395
11,73,2609.797886338734,79.51216166027082,0.3957213425232595
12,72,2147.8476272318976,96.09378549282731,0.4327083270599541
13,79,2984.565312171061,83.5596337255283,0.5702215400425494
14,68,2050.8226633478052,77.97938468567665,0.3740201128971812
15,78,2645.6539866241046,79.18984273743214,0.5163375291437493
