Cluster,Trees,Distance,Turning,Elevation
1,74,2460.2249959125425,80.46872953582283,0.7545765427282536
2,58,1428.865134509291,80.89256422923943,0.5553440239692833
3,54,1499.4082349284326,77.30126417660982,0.5078086234810861
4,71,2566.2821770502956,86.37449473898336,1.0573839157038467
5,54,1468.7688348252452,80.38422412029807,0.8711245454457313
6,61,1906.618609742523,78.20986786141124,0.7718911302036489
7,58,1546.732421621445,76.33966500765547,0.4969505626010928
8,45,1279.8465876529172,62.30932869423449,0.6005841684852911
9,50,1213.2654646551994,71.37413041509028,0.41354067786345894
10,58,1568.5496839828095,79.34137793605176,0.713199898942884
11,66,2072.73027385986,79.77111408145123,1.1462073045414236
12,55,1429.1656955313952,79.92373520608834,0.4277288056013635
13,65,1927.032791884287,84.93874544156104,0.7568708180534021
14,51,1173.5639005767257,80.83662765221244,0.3879906366880448
15,59,1795.9388214060816,69.81684063642703,0.4407411911644381
16,55,1349.4810775192814,71.44477820859471,0.6369194496451787
17,60,1717.006527550284,87.85080853976987,0.8647840092562884
18,72,2477.350419948443,86.89730169410252,0.8753400543102963
19,57,1495.2512618286441,63.609827628764265,0.45387574421433285
20,77,2376.4421037690263,95.48464784241474,0.6943878942291786
