Cluster,Distance,Turning,Elevation
1,2242.98104306355,92.4825308540669,0.48749347166262247
2,2151.6868018561386,74.53044367996402,0.48268329905366336
3,2169.158878849603,90.68508119225565,0.42324070920623846
4,1996.1986451656917,93.41229413195948,0.49960495895762236
5,2423.7470153878135,98.32362329762027,0.6388867444879942
6,2111.5643014325433,72.24257568161154,0.4550453096674847
7,2369.581408331524,73.26988374626012,0.397209798417947
8,1506.9104938287528,68.4954887928957,0.3755800521780852
9,1936.1625294960559,87.27111880887091,0.976846710418771
10,1512.2605931777189,71.73752110834792,0.6117240666847259
11,2177.9596611585343,95.0937449312401,0.28077012672489055
12,1864.5397167814967,84.61499328916832,0.4119032001060372
13,2654.5296351989286,87.2012646026858,0.5066267338167609
14,2352.8579175773807,81.31210609494437,0.47740585436380556
15,2130.017909076653,90.86094797811549,0.36183831637024433
