Cluster,Distance,Turning,Elevation
1,1918.902787650234,83.39718899789871,0.3811781233790743
2,1822.5601843970612,71.59848770616124,0.28703345769088706
3,2168.907119364269,93.75891660429413,0.47494966415982987
4,2774.3494515096977,84.93983793790491,0.7077342135578704
5,2020.354453281857,76.8784025623769,0.33488127626986675
6,2429.921524261819,92.28803497402008,0.352783753617647
7,1715.6479706759994,81.9229613427139,0.3070754731189549
8,1363.4583668885832,93.49884533266417,0.43865067389344325
9,1845.337887798434,105.10842956017733,0.8967698626257015
10,1444.719619147203,78.02940020768487,0.9369654400064036
11,2597.4269447712527,93.39579934878914,0.375985539048866
12,2395.5644803190994,86.27682468278125,0.5201162498983525
13,2798.1603908650445,98.09288249522756,0.5651806289074592
14,2039.2925587308437,81.66045238116871,0.3663971014432086
15,2573.3225140415816,94.26662422580993,0.6345816471035253
