Cluster,Solution,Distance,Turning,Elevation
1,1,238473.85652108997,87.02895506390801,27.39633591500926
1,2,326250.95546931354,38.759735612966246,27.90864068306973
1,3,315301.7262468223,36.093572845849124,28.04859932966143
1,4,324101.52784634236,35.829345379660445,27.957393084539362
1,5,324101.52784634236,35.829345379660445,27.957393084539362
1,6,234022.0509723526,73.62651874454993,27.726898788632102
1,7,253055.87126965073,66.91149310461053,27.15538515977368
1,8,237902.43298863128,82.08183315655039,27.43373534177091
1,9,240514.56419245788,80.20346173756704,27.50848733001468
1,10,246286.15034832503,83.58615868651145,27.254127122024585
1,11,249884.03700744334,69.74527195400103,27.262384263718282
1,12,242152.893577217,75.56008821800236,27.29325676243079
1,13,318367.1676139563,38.254774939464674,27.981076414659633
1,14,277773.6132915886,49.4944349586762,27.30911294261746
1,15,234296.14928484798,78.80776850439848,27.557397158928516
1,16,270882.72159345465,58.690063357095376,27.20226244191804
1,17,258207.24535344882,59.94974601800187,27.446658792428877
1,18,240867.1638552812,78.17087964590223,27.641391250341055
1,19,245717.4298922778,65.40930167720161,27.55624779976691
1,20,274366.37326442235,53.56723952212505,27.3068475850659
1,21,243338.5413215974,69.70168341798345,27.586785527159552
1,22,264286.76095799735,57.10569781357086,27.36717376382307
1,23,305097.50913637056,48.623835336919086,27.46867132563269
1,24,292323.98727851536,42.93572295633019,27.86517629489084
1,25,251227.70160435222,64.24602618610494,27.609527341148198
1,26,255283.07614241645,64.52611148457454,27.165263929699705
1,27,322394.4619871825,39.36385315319184,27.936900098664857
1,28,322394.4619871825,39.36385315319184,27.936900098664857
1,29,310278.8523770036,40.448773216768544,27.895667033551167
1,30,283443.61766073667,48.49061206466705,27.92161261860299
1,31,288584.5592394336,41.4976569148635,28.006119552291217
1,32,248686.82940277242,64.83021238118181,27.71983992191534
1,33,282863.53583294444,46.178799455195275,27.982705321573654
1,34,282863.53583294444,46.178799455195275,27.982705321573654
1,35,259450.344194179,55.85575597643286,27.398911805815242
1,36,252245.56946895333,63.006206376050386,27.779663163943415
1,37,313887.87142637704,44.105884422089794,27.688971838650115
1,38,239739.5025234586,80.71357962646778,27.322408437053582
1,39,244018.7181702164,66.66363466069718,27.286022338869905
1,40,251105.32531744608,65.19491562670535,27.63257084722558
1,41,286236.67656589596,48.0895851980277,27.913643937277918
1,42,302464.58385204134,43.144659819758424,27.748617510056455
1,43,304929.8322996017,40.69797915594818,27.951419198275225
1,44,289243.03515536,48.014746908339596,27.79568328057719
1,45,269472.95665685117,61.82349846131997,27.212098035290378
1,46,272457.2491182472,56.09753048852588,27.269785145819572
1,47,294797.9944843417,46.61152105699781,27.757236404395687
1,48,253499.91698835633,65.528490445256,27.2313437014709
1,49,297896.2399852225,42.60896068199049,27.978985266995164
1,50,268096.7363696383,56.57044247794334,27.312426628262028
1,51,307136.3112469822,37.699528867487416,27.99056045616152
1,52,307136.3112469822,37.699528867487416,27.99056045616152
1,53,305191.1334948902,51.17928981913243,27.30534330354614
1,54,305191.1334948902,51.17928981913243,27.30534330354614
1,55,295224.312019062,48.97997887956183,27.665959806731077
1,56,256264.17127403163,62.638780270349265,27.206120586047067
1,57,289905.4388414691,44.61478504058309,27.81099206011741
1,58,266031.8042136346,50.438489939325805,27.333185803842202
1,59,288434.1693381978,43.120134141742554,28.019132965389105
1,60,251195.6706099254,75.04699605961154,27.257552099957806
1,61,300682.02471345814,48.81586452023164,27.70998244581444
1,62,323517.89375688543,38.830808994322865,27.87485221509812
1,63,305479.8836810251,47.02127438846547,27.696502103852506
1,64,258326.51309803443,61.030171705870636,27.267027111399468
1,65,261319.3148742835,60.28131342812237,27.213102872453586
1,66,290887.91428777657,47.48595435597503,27.760915955239998
1,67,273297.3703520888,55.13135946131108,27.314961055723387
1,68,287570.55218252813,45.69484930785131,27.879169020555523
1,69,270149.7683263217,50.37268581837799,27.321832488192104
1,70,291609.8683676359,48.92581352056952,27.680848174125597
1,71,246190.64307723148,65.35853289502418,27.571043790169053
1,72,263591.4957417793,57.98147377919103,27.22849393180228
1,73,297314.21660951624,48.87203728732793,27.72503200116738
1,74,289804.1836277105,45.4225981155862,27.77809835300115
1,75,295234.3704756489,45.42599839239402,27.750918898206173
1,76,309822.4444978761,47.608875606233205,27.32924872698259
1,77,253934.51466293342,62.50556185585142,27.35074589403425
1,78,289624.06944129814,39.52548272748038,28.019132965389105
1,79,241539.60521833427,78.41273460950308,27.587427157628863
1,80,299217.74587344617,40.84756080643055,27.83454761086009
1,81,299217.74587344617,40.84756080643055,27.83454761086009
1,82,276353.136384744,55.02885694161993,27.285483534854272
