Cluster,Distance,Turning,Elevation
1,1238.0603317761654,58.82771582807721,0.30339167262358124
2,1198.0342305548568,69.05608446297099,0.27303792140786776
3,1303.1643801478046,60.88457232816666,0.33865872160634325
4,1339.7969682792573,63.03124583855239,0.495204280376047
5,1167.900558740954,66.92791539343004,0.34396281033008513
6,1311.3843154570834,67.60259709956702,0.3201371268924653
7,1089.2540403032428,66.53298048541113,0.22932852636930257
8,1012.2023046802241,53.61488875852079,0.45217692678073185
9,1191.635800258321,67.07545024938564,0.777636778547949
10,994.8768797542751,46.16405603365386,0.8497136099804727
11,1291.0311132448264,65.46788924535775,0.23175831218866705
12,1273.7927379407415,70.34684292854199,0.27086156665702354
13,1411.8329530938581,78.01311714130625,0.3387821259671995
14,1202.8384754715114,73.34384494139567,0.28733157647943486
15,1391.3442078281623,85.93849398878655,0.4200911582228546
