Cluster,Distance,Turning,Elevation
1,1180.9967944200332,67.14110901501445,0.3088700453993116
2,1183.1757455613097,71.37097555140562,0.28244990930596536
3,1286.4784983177265,72.38798288348954,0.3574926033086854
4,1328.342767302149,73.81245919932049,0.3551874737146292
5,1180.6885392753302,65.51119915514656,0.3216126777539383
6,1335.3942042773022,74.85491550359163,0.3086226315032583
7,1129.4134288406742,60.77365976132568,0.26108713890390867
8,1045.397424673607,52.5086055220184,0.4115394538048296
9,1194.738448959378,67.53019592381456,0.7490695610296942
10,1013.1525557263698,52.86018570556871,0.7293046631426634
11,1332.3417004897974,66.62246746788897,0.30072577400922995
12,1281.9498926069555,76.41687702467809,0.33442571267988264
13,1399.706256619464,79.64921582693253,0.373032833596465
14,1215.1861006742602,67.6412266666348,0.3218392930539693
15,1417.9374829498952,73.21162847692737,0.41724342324899943
