Cluster,Distance,Turning,Elevation
1,2566.7700814979758,85.89226768954698,0.902888788795936
2,1308.2309744515496,81.45580758098293,0.5562889423296227
3,1334.6191311355929,79.2079487815901,0.5035305745283729
4,2156.375482128999,97.52154314777914,1.0577397114217373
5,1265.810363068351,75.2990314277159,0.5039141650637973
6,1664.3425781146514,88.75694790124052,0.5809066358173176
7,1490.3537780533845,88.49484793783314,0.5424281537542051
8,1134.8521647634557,63.25415370095998,0.5774450206733306
9,1423.2000014576004,61.677451910869664,0.6019704537431174
10,1566.9656135012294,76.03403380261602,0.6650895801982077
11,1923.3175971983544,82.51351811592544,0.9558122018151138
12,1438.2167850530866,75.03977061978607,0.515544329873185
13,1861.2820049666634,89.91869057548324,0.961915674822988
14,1475.2825225323063,71.81576164460408,0.6323622081341682
15,1603.846871649144,70.3902508924328,0.40594327977538924
16,1453.8719103713374,73.63499588057769,0.8101940066036857
17,1454.8797275275065,96.36993381848248,0.5894010512004737
18,2426.036559809568,88.79494524054732,0.9819348018681602
19,1370.046475767335,79.58537648200118,0.4688017731480585
20,2770.401088406073,79.9426754084198,0.7341720811614945
