Cluster,Solution,Distance,Turning,Elevation
1,1,284174.9984661685,39.53468013240772,28.32232024874835
1,2,321475.9228117343,38.131510613758124,28.074436224030727
1,3,244244.67054053134,82.98375005479127,27.28029096464224
1,4,295431.5227277628,37.68786130298301,28.245307152104036
1,5,238716.5272278246,89.90821957600286,27.4859369310861
1,6,227292.47523327536,82.43282161550393,27.636945812275506
1,7,316420.4192551621,40.03659832293458,28.08548015023934
1,8,291632.6964685167,42.596397775937334,28.168808905459496
1,9,230633.27469727412,85.71937956579768,27.590192756753414
1,10,290320.77462624625,40.74162002434501,28.219077821182474
1,11,286155.15647631994,43.385870712296835,28.061185505505165
1,12,254749.38133420376,50.38284539494066,28.03016994230035
1,13,235054.86482227352,73.12655003970313,27.759701307009166
1,14,276747.6295755209,44.385901697404464,28.264332720826317
1,15,234077.47881504532,71.30970545027375,27.762718632815243
1,16,261098.06767991578,54.67065265245702,27.80905398624053
1,17,302991.0155835921,42.30493607659648,27.755255591511435
1,18,264577.6207677331,47.55292350117283,27.96555951316197
1,19,238456.83955979557,81.76303131682567,27.57037800323216
1,20,292969.76624205377,52.10240894042668,27.50620765489693
1,21,312416.2859939947,43.62723952964844,27.601253026701556
1,22,242026.86687549052,68.14089331216572,27.722426935791294
1,23,259449.49094255507,56.84112308574765,27.780224777372958
1,24,295993.7937862894,52.23876155435629,27.412251907574866
1,25,243444.4425222542,84.27218048934675,27.52736707582546
1,26,246528.99775322058,78.17014709727971,27.3885136597988
1,27,273449.94196858,44.76352352341673,27.96294674077035
1,28,299305.4633620054,46.48188023542694,27.65945533769993
1,29,259691.6787210099,53.536243921828465,27.872626761600777
1,30,237424.4856615527,74.52416574865593,27.692425194690195
1,31,270425.1404449487,46.561711693213326,28.0020098812499
1,32,270425.1404449487,46.561711693213326,28.0020098812499
1,33,249807.7864033537,64.23974594052835,27.315182143977783
1,34,243135.72620634612,65.61673672896447,27.841245473673148
1,35,304927.9530037803,45.04210182046474,27.663359328499734
1,36,270017.67498410866,46.78329414682586,27.908748904167513
1,37,245926.330154832,66.54817220858276,27.534066055244796
1,38,261345.70132396533,54.56728386345606,27.560509433500727
1,39,310486.0115359374,43.6517759134619,27.63112252824479
1,40,258531.90464536787,77.5133260596802,27.30258086040798
1,41,266680.69179541804,48.757011918139256,27.89968101313563
1,42,297229.0125933635,51.84290575736579,27.438870945280986
1,43,278860.5492146053,53.12493724798865,27.362434037642196
1,44,267785.72363321646,47.347446222329104,28.084808532800054
1,45,228367.30877631655,82.86084008525243,27.629345762741035
