Cluster,Solution,Distance,Turning,Elevation
1,1,295204.21189337975,59.50590162880135,27.178744479027124
1,2,234982.20640807317,83.35288305145833,27.861176671328305
1,3,338477.2442850279,35.729356965075915,28.120597798415368
1,4,328185.50529196195,33.93897678569254,28.603176395456657
1,5,245308.3376811748,85.97926304478675,27.48411565788162
1,6,315902.4929275141,38.584380764575506,28.68945173756779
1,7,315902.4929275141,38.584380764575506,28.68945173756779
1,8,329159.59545631456,38.29905389492526,28.21488319876715
1,9,265386.7655562498,53.1481411876808,28.03064285523219
1,10,242548.31352883845,78.71952294676095,27.627311472374767
1,11,244399.6072884843,69.31407561114631,27.765728103751425
1,12,280632.08963150566,43.005520344125756,28.37410162653539
1,13,321216.29505975917,38.424771431052626,28.431917579485848
1,14,321216.29505975917,38.424771431052626,28.431917579485848
1,15,308929.68229595025,46.33349678080615,27.276821032437184
1,16,245801.74718620756,65.82914925255882,27.464744683148993
1,17,273591.89470803936,46.90222554200323,27.786327386115083
1,18,305866.8769632108,39.30327182456328,27.77736416871485
1,19,236109.22637319597,73.30021650244093,27.683419849804952
1,20,328336.2425348633,36.60398709660869,28.277290508648154
1,21,328336.2425348633,36.60398709660869,28.277290508648154
1,22,239217.89004907326,81.23660118079528,27.594696893961533
1,23,258419.04933234552,55.4567972639432,27.498438031475217
1,24,262612.004641664,53.77884678611439,28.15688159118633
1,25,241775.0227228189,70.8083926954283,27.729122291095226
1,26,241775.0227228189,70.8083926954283,27.729122291095226
1,27,288579.9249054598,44.34093238940184,27.685209215958192
1,28,299698.8841568361,42.24633701307594,27.35033839537516
1,29,317546.8855848051,38.88576876493995,28.66199129492654
1,30,301193.6771563161,39.40341971414352,27.527565235204346
1,31,321976.44792565383,37.348091140537356,28.407229078356636
1,32,321976.44792565383,37.348091140537356,28.407229078356636
1,33,307977.54403270077,40.655417985016726,27.41022192633376
1,34,243354.64747453388,75.5904178263339,27.580595649050675
1,35,243354.64747453388,75.5904178263339,27.580595649050675
1,36,278351.93450604536,64.04720081365744,27.188084887658228
1,37,327419.3520308158,38.81234211818817,28.26280803818893
1,38,327419.3520308158,38.81234211818817,28.26280803818893
1,39,321405.8232521941,37.399097368213965,28.66199129492654
1,40,308143.5155563602,39.00610784702356,27.90948155939861
1,41,249098.07962330125,61.96324185519345,27.51269654964405
1,42,262124.1269942152,57.72136125506739,27.31235480756659
1,43,273390.8901737959,65.06441729065544,27.253735932638676
1,44,251516.95202077774,61.05344025219068,27.4468295611325
1,45,250381.15798605332,58.600902026919506,27.56920562920053
1,46,239638.8651252289,71.38508651658631,27.64886062171878
1,47,297248.73992305005,43.377527741307816,27.35902880188125
1,48,291795.21952674084,57.88833778132956,27.27569305593839
1,49,270498.34830545104,65.74214337990536,27.210077391151742
1,50,266804.53512343124,50.99620813256707,27.600807796781485
1,51,282594.74674508884,45.69450486492892,27.943411403476162
1,52,287384.03233645123,39.67935326857872,27.989985363218366
1,53,275308.05148886907,63.03915906299235,27.2876805811592
1,54,242738.89157914784,84.22568044029217,27.551619352815027
1,55,243099.16454159954,85.82371922947576,27.536067973658238
1,56,275780.5649829925,61.9491543824566,27.227756037419702
1,57,288144.69862436125,44.48304387832215,27.3174538072815
1,58,254039.72273172747,57.104149369244276,27.476623147773477
1,59,278934.7983282836,43.50910117662578,28.249848762989927
1,60,245006.25180965144,74.4691148791355,27.565060979740228
1,61,244235.78788148973,72.19474789619706,27.637721826791886
1,62,253451.2725835811,60.114644733282255,27.31276812353301
1,63,271806.6656400924,56.76253467101205,27.393033260811325
1,64,271629.4071328041,52.4425181810028,27.492913916917946
1,65,293476.9077596287,42.012235208695195,27.373560369526842
1,66,284629.0049186752,42.56213130331397,27.97900945723012
1,67,243871.09527573895,81.62338547211408,27.526637846299895
1,68,243871.09527573895,81.62338547211408,27.526637846299895
1,69,263247.09179051477,54.98192460787771,27.73034414647762
1,70,250924.94559946115,83.76568855384872,27.426249584899153
1,71,263014.35598036664,74.99301099838542,27.256387236052415
1,72,255846.5588567849,56.94091737334126,27.456177293289816
1,73,295183.87905252754,60.571935417842575,27.17959072524302
1,74,281698.0950889994,47.71951969084924,27.558979256977704
1,75,263595.0160149297,53.523820091298084,27.596126635113666
1,76,272833.201504678,54.191511744988006,27.41218557705654
1,77,257821.44764963284,63.287207627940866,27.268609643958797
1,78,274428.0728914796,51.56520512281252,27.56613092311729
1,79,286898.418400247,43.7853022363995,27.751889023910383
1,80,283821.69762553315,43.89294193741875,27.968190430408008
1,81,293840.6243077185,49.364601572462156,27.295798486363005
1,82,269937.6075607733,71.09185862341143,27.224187566418134
1,83,279848.0390765532,48.532262196039575,27.53704973964983
1,84,255595.13089804474,72.61685799802096,27.271658005505653
1,85,251314.49470045426,63.30376741370731,27.301418695673743
1,86,283815.6988983806,45.83502005609326,27.928643598985627
1,87,286748.52341935976,49.67596052358836,27.36505037809083
1,88,269047.93742545793,50.089432001880006,27.66749169987031
1,89,269047.93742545793,50.089432001880006,27.66749169987031
1,90,287349.8114661155,45.08472677572541,27.553221065276833
1,91,275772.75440372387,51.446919862660664,27.398336828857346
1,92,247782.94980124643,81.28803876744546,27.435759046598445
1,93,247782.94980124643,81.28803876744546,27.435759046598445
1,94,276643.38994860987,49.06782381466324,27.596774624854625
1,95,275339.6438198356,52.17677778262848,27.470195686109953
1,96,245066.665146042,60.23626547065363,27.614779511421165
1,97,262190.8423365365,72.69376080728827,27.26678533304592
1,98,284967.99634366855,43.697497316126025,27.95755442535642
1,99,292457.138376671,43.421196466487096,27.41935898631989
1,100,284890.5252497074,44.80308531043573,27.606081506245474
1,101,248102.47232374194,71.15637765718003,27.462194184395596
1,102,283682.0688539448,46.04031398124605,27.56883468557319
1,103,292199.572623165,41.66328662287583,27.598728395162546
1,104,292199.572623165,41.66328662287583,27.598728395162546
1,105,277635.217893349,49.95798868743451,27.58648796136318
