Cluster,Distance,Turning,Elevation
1,2104.514190231105,94.55631625207276,0.479589244912086
2,2126.860694636008,83.95766372632599,0.3105493039344598
3,2337.8319320205073,75.15789884247465,0.4702115610646125
4,2599.623739890517,88.855265987305,0.5661853762006039
5,1914.9478258416295,69.20952014391874,0.3726669764715016
6,2219.3806394495496,88.04283209373413,0.32799633076889734
7,1948.7558157320461,71.82520616453075,0.42247732022581097
8,1406.2183783198082,82.80389911750154,0.3817771711326845
9,2186.40850527984,72.96284907789318,1.2468044124500484
10,1462.245734640674,73.04832676095982,0.6218343725617714
11,2476.4219006422686,92.4716270908875,0.41455672522952014
12,2203.074603782315,101.01391106704915,0.44409305446202474
13,2610.0790806831133,92.338162421187,0.5824115731762092
14,2064.7738064255796,83.38526085980011,0.3295487713911385
15,2470.807173617772,89.98239290389598,0.5729961750120562
