Cluster,Distance,Turning,Elevation
1,1322.9111595868537,70.23993605201869,0.592035099977787
2,1022.7521496867355,45.200988864667195,0.4787428423686464
3,967.7303439491683,36.81251729729514,0.4462789081439169
4,1255.5552468672413,65.12315470487387,0.6672223295963118
5,947.1300249859163,55.41077715387992,0.6073414014061775
6,1075.992863389003,59.74573347210066,0.5308377201676464
7,1072.645220749148,47.34661459431979,0.5377384851796982
8,955.7453075007091,38.17294544034824,0.5803661037010919
9,892.1976422633663,45.10734227450244,0.47178221948211885
10,1063.2343769881513,42.79448589143545,0.5508735057460807
11,1174.5272737093817,70.04584974724537,0.719687854667793
12,978.5497769534406,51.60620269046122,0.4657245401962822
13,1197.7923931021282,52.467567725846315,0.5536648991419693
14,968.4116553686937,36.829569021445444,0.4606584913980498
15,1067.3427939066253,52.44577978538834,0.40098008468891067
16,972.5948366137782,48.32960467521419,0.6273357548179685
17,1087.7270615208442,51.64776218547919,0.6266307170547432
18,1301.95368774301,72.47045414069318,0.6537405007320487
19,1031.7811285457765,55.65961882985686,0.43531838209666773
20,1382.4772208485783,71.33781832776432,0.5171770042689996
