Base,X,Y,Latitude,Longitude
B0,116.81354657196749,-14.631463035386144,2.6763407500848944,101.62326015216237
B1,240.88612862607877,-24.843486988166557,2.676248911147085,101.62437718222958
B2,373.452871728719,-35.75463861807165,2.676150784803023,101.62557068554439
B3,591.3356421704403,-53.68788409271345,2.675989507251827,101.62753229222396
B4,749.4411764791311,-59.98523567189824,2.675932873808475,101.6289557222251
B5,863.9860289353235,-59.833098843685804,2.6759342420078416,101.62998697378865
B6,1067.870842984504,-23.21899182893324,2.6762635205830394,101.6318225563466
B7,1067.8889797159582,253.80150867855406,2.6787548257969274,101.63182271963228
B8,945.783075433659,324.86200685204136,2.6793938882102752,101.63072339563814
B9,866.8072417073978,325.58991774307253,2.67940043447019,101.63001237327208
B10,729.1584765335847,326.858610083242,2.679411844094518,101.62877311632371
B11,618.1176178120709,327.8820605059752,2.6794210482052954,101.62777341134597
B12,544.2500586565457,328.5628890362515,2.6794271710433675,101.62710837896572
B13,460.904607164425,329.3310741758893,2.6794340794983014,101.62635801676852
B14,394.02736746714595,329.9474737609381,2.6794396229129487,101.62575591849414
B15,273.62421000549125,331.05721538056645,2.679449603059104,101.62467192439291
B16,140.6673753019129,331.8198543132281,2.6794564616358003,101.62347490906893
B17,-4.938838202642705,283.91094604195223,2.679025606472557,101.62216401091752
B18,-5.001636753843205,52.25415284403064,2.67694226687975,101.62216344553981
