Base,X,Y,Latitude,Longitude
B0,-5.078610266364511,46.28090268055955,2.701293971927736,101.63345672652592
B1,154.99956922619054,-5.314332114706808,2.7008299648335976,101.63489794515358
B2,241.5005596287076,-5.283596225038142,2.7008302412480942,101.6356767323629
B3,316.8627980386448,-5.233538245537995,2.700830691430319,101.63635523496808
B4,423.056209278128,-5.1433120736083735,2.7008315028537777,101.63731131732045
B5,510.7904480698058,-5.068769553305671,2.7008321732307685,101.63810120773294
B6,749.009912206348,-4.866368763300965,2.7008339934648036,101.64024594932279
B7,877.1340109318337,131.33454377607868,2.7020588776987284,101.64139947841913
B8,877.0854941325086,315.91892192963337,2.703718884892614,101.64139904161185
B9,734.4443429324873,365.57907161451857,2.704165489348262,101.64011481233818
B10,631.9501559089765,367.53816229749026,2.7041831078740532,101.6391920349051
B11,552.1279960783802,369.0638961382097,2.704196829128132,101.63847337865843
B12,371.2963300041718,372.52034223023026,2.704227913694634,101.63684531188228
B13,157.5501123654999,376.6059224534317,2.7042646562003085,101.63492090824758
B14,-4.983026446857576,318.93921783687364,2.7037460470662706,101.63345758708782
