Base,X,Y,Latitude,Longitude
B0,124.26407802285847,-15.244692843114816,2.6763352351767393,101.62332722957392
B1,255.05131266292204,-26.009378728992086,2.6762384260307583,101.6245047119079
B2,385.270219359463,-36.72728732954006,2.676142037563011,101.62567707756428
B3,592.8939716075334,-53.81614528688266,2.6759883537711957,101.6275463219218
B4,757.0850389883667,-59.97508320347639,2.6759329651118167,101.62902454020335
B5,876.999914987245,-59.815813987106026,2.675934397454291,101.63010413828842
B6,1067.8727049212623,-12.846143581127215,2.676356805848481,101.63182257310969
B7,1067.8978749312198,127.37596252492438,2.6776178535449673,101.63182279971623
B8,1067.8852420086466,264.36535082273804,2.678849828711745,101.63182268598156
B9,916.186595596299,325.13479409585153,2.679396341444897,101.63045693743025
B10,734.6319263348851,326.8081619457056,2.679411390403517,101.62882239399569
B11,617.3669471135602,327.8889793487558,2.6794211104279433,101.62776665302978
B12,534.6276486355548,328.65157764796686,2.6794279686392146,101.6270217480507
B13,397.80095758250434,329.912693028483,2.679439310122307,101.62578989226618
B14,270.4448248973266,331.0865193959572,2.6794498665964457,101.62464330027062
B15,139.24193700924164,331.8211148356773,2.679456472971951,101.623462075795
B16,-4.936001429184049,285.290574717146,2.6790380137713146,101.62216403645708
B17,-5.001618630104864,51.6755429226224,2.6769370633157124,101.62216344570298
