Base,X,Y,Latitude,Longitude
B0,124.53860103259417,-15.26728796852123,2.6763350319738946,101.62332970111478
B1,266.1700962939093,-26.924530835006166,2.676230195870142,101.62460481473013
B2,398.7421595813753,-37.836120352589376,2.676132065588061,101.62579836594276
B3,598.0777310308124,-54.24280421925572,2.6759845167352334,101.62759299150053
B4,762.2959085909597,-59.9681622012963,2.6759330273538846,101.62907145385603
B5,874.6891031837945,-59.818883174161,2.675934369852429,101.63008333396387
B6,1067.8691085840583,-32.88133537826402,2.676176625039862,101.63182254073173
B7,1067.897063796835,122.85713349181538,2.677577214739138,101.63182279241356
B8,1067.8834555555204,269.4143841599421,2.6788952357594367,101.63182266989806
B9,922.2457015088513,325.0789480354105,2.679395839209209,101.63051148778597
B10,736.252528218375,326.7932250503876,2.67941125607279,101.62883698433467
B11,621.1592062421064,327.8540265462207,2.679420796089838,101.62780079487965
B12,545.8048836294921,328.54855839891525,2.6794270421648494,101.62712237711273
B13,416.79260720691536,329.73764924675885,2.679437735915758,101.62596087479355
B14,309.5547785688475,330.72604759234326,2.6794466247956326,101.62499540863699
B15,230.70208430650086,331.45282352154277,2.6794531608485905,101.6242854949001
B16,129.5110670855091,331.82971989424215,2.679456550359102,101.62337446841144
B17,-4.948681935370141,276.0961553574457,2.678955326371474,101.62216392229402
B18,-5.00152278379991,48.61559900077789,2.676909544578894,101.62216344656589
