Base,X,Y,Latitude,Longitude
B0,-5.098232667465119,57.834428624408794,2.7013978752827943,101.63345654986118
B1,131.99709772204062,-5.322505448017424,2.7008298913290454,101.63469084890524
B2,231.8311377150611,-5.287032004024193,2.7008302103493915,101.63558967645668
B3,310.78152528277144,-5.238705138237062,2.700830644963337,101.63630048394828
B4,405.7391975671444,-5.158025299765304,2.700831370534556,101.63715540850183
B5,502.86529837541565,-5.075503077641578,2.7008321126747292,101.63802985588846
B6,572.5123553421341,-5.01632815084598,2.700832644847631,101.63865690347347
B7,762.4867132032953,-4.854918333847582,2.7008340964409894,101.64036728389006
B8,877.1316875846528,129.15550200801277,2.7020392811053062,101.64139945750154
B9,877.0853708952426,316.2878499103695,2.703722202741655,101.64139904050232
B10,731.4772828834579,365.635784486406,2.7041659993793723,101.64008809925195
B11,580.7908887321842,368.51602891202054,2.704191902039795,101.63873143690813
B12,366.9932204969969,372.60259257035324,2.704228653389714,101.63680657005253
B13,149.96295801629935,376.75094456470885,2.704265960415489,101.63485259944864
B14,-4.9830008335733185,318.9640928917099,2.703746270773013,101.63345758731842
