Base,X,Y,Latitude,Longitude
B0,-5.098232667465119,57.834428624408794,2.7013978752827943,101.63345654986118
B1,131.99709772204062,-5.322505448017424,2.7008298913290454,101.63469084890524
B2,231.8311377150611,-5.287032004024193,2.7008302103493915,101.63558967645668
B3,311.13884501128433,-5.238401545096186,2.7008306476936155,101.63630370097542
B4,407.39273670483544,-5.15662038674115,2.700831383169242,101.63717029567391
B5,502.1337739295493,-5.07612461008557,2.7008321070851538,101.63802326981495
B6,572.4170306695553,-5.016409142502589,2.700832644119256,101.63865604524473
B7,765.6285770715646,-4.852248880571252,2.7008341204479596,101.64039557077305
B8,877.1340109318337,131.33454377607868,2.7020588776987284,101.64139947841913
B9,877.0850470093028,317.25744774059876,2.703730922544433,101.64139903758631
B10,731.4772828834579,365.635784486406,2.7041659993793723,101.64008809925195
B11,581.4325631463249,368.5037638421395,2.7041917917373715,101.63873721404228
B12,367.6348949111376,372.5903275004722,2.7042285430872903,101.63681234718668
B13,149.96295801629935,376.75094456470885,2.704265960415489,101.63485259944864
B14,-4.9830008335733185,318.9640928917099,2.703746270773013,101.63345758731842
