Base,X_m,Y_m,Latitude,Longitude
B0,-69.61267378457399,378.6886548296265,2.7042729366245783,101.63397237375169
B1,-130.81083034060657,241.2218351137483,2.703036667813904,101.63342139345738
B2,-69.83402605126534,58.39320591181004,2.701392450449686,101.63397038086916
B3,79.71902080171228,-5.139473895429012,2.7008210873333605,101.63531683942945
B4,149.2882974782948,-5.250333924404146,2.7008200903451676,101.6359431867362
B5,228.1037386863543,-5.375927900846258,2.7008189608514015,101.63665277927029
B6,298.85962753680735,-5.48867881997092,2.700817946858025,101.63728980990416
B7,382.87926218466066,-5.6225657823845525,2.7008167427836445,101.63804625692202
B8,449.8781535732771,-5.729028519577025,2.7008157853412467,101.63864946249181
B9,579.6747403820392,-5.837718219258384,2.700814807871294,101.63981804935167
B10,769.2692828482492,60.19501542450227,2.701408654511931,101.64152501019306
B11,762.076842492836,316.78425645458583,2.7037162169949776,101.64146025509051
B12,628.7021066406363,378.33196475474756,2.7042697288336686,101.64025945337771
B13,494.88164373221787,378.4003185004696,2.7042703435536724,101.63905463868743
B14,318.70119387410404,378.4903091746092,2.7042711528592482,101.63746844783503
B15,136.89637202936717,378.58317270454575,2.7042719880010373,101.63583161954014
