Base,X,Y,Latitude,Longitude
B0,77.13965961427024,-5.135363631967362,2.7008211242978475,101.63529361688049
B1,149.15288815628182,-5.250118146950664,2.7008200922857006,101.63594196761667
B2,228.1792446576107,-5.3760482211163705,2.7008189597693355,101.63665345906695
B3,299.740729241902,-5.490082873099299,2.700817934231072,101.63729774265417
B4,387.35322362248047,-5.629695129106613,2.700816678667889,101.63808653696849
B5,452.46519037634454,-5.731194865088131,2.7008157658588337,101.638672754146
B6,582.9908331398022,-5.84049506520494,2.7008147828985183,101.63984790485495
B7,769.2421326800779,63.700536082013855,2.701440180416604,101.6415247657542
B8,761.9866217158741,319.83045170764666,2.7037436120870466,101.64145944281326
B9,625.7777308796173,378.333458487715,2.7042697422671322,101.64023312458764
B10,491.0013913954765,378.4023004827151,2.704270361378067,101.63901970393295
B11,317.0909400126792,378.4911316712633,2.7042711602561385,101.6374539503698
B12,140.03525386134402,378.58156940467717,2.704271973582215,101.63585987957498
B13,-66.15468896854873,378.6868885361189,2.704272920739919,101.63400350673997
B14,-130.81084114709898,241.16184723617744,2.70303612832996,101.6334213933601
B15,-68.94243562022699,57.5603271746165,2.7013849601912514,101.63397840805143
