Base,X,Y,Latitude,Longitude
B0,47.787749166212805,-8.950166774783517,2.6763918432096623,101.6226387103431
B1,225.42252394719935,-23.57072632853772,2.676260357358689,101.62423796282198
B2,367.86332323826537,-35.29458046400788,2.676154922205402,101.62552036263159
B3,568.3296640408632,-51.794334399245145,2.676006536353339,101.62732516854787
B4,724.2302991380748,-60.01872039716416,2.675932572673106,101.62872874775947
B5,838.4257157224649,-59.867047684658885,2.6759339366985797,101.62975685333888
B6,1027.4585129253303,-59.61597703785206,2.6759361946311526,101.63145872263722
B7,1067.8877955810221,71.22391032951737,2.677112866007407,101.63182270897147
B8,1067.883744484077,268.59778847531396,2.678887891938012,101.63182267249928
B9,918.7810742042142,325.11088109428965,2.6793961263901074,101.63048029561757
B10,844.3837102231215,325.79659277279563,2.679402293143386,101.6298104933848
B11,731.89054698059,326.83342891402094,2.6794116176348224,101.62879771325548
B12,570.3889230573727,328.32197022376386,2.679425004408434,101.62734370813332
B13,490.86832115048446,329.0549021784933,2.6794315958238593,101.6266277811991
B14,417.0051349286231,329.73569040395876,2.6794377182994618,101.62596278818853
B15,346.9052800229558,330.381792451104,2.679443528834768,101.62533167658965
B16,270.2562045999871,331.08825788686295,2.67944988223107,101.62464160211508
B17,202.17744149777465,331.6998540991849,2.6794553824479483,101.62402868648081
B18,121.94376700047523,331.83641169681675,2.6794566105399285,101.62330633972755
B19,-4.94754429639466,278.53561767407547,2.6789772649831556,101.62216393253622
B20,-5.003466837031133,110.68052546264525,2.6774677078722635,101.6221634290635
