Base,X,Y,Latitude,Longitude
B0,43.59761359799644,-8.605289896430483,2.676394944761943,101.62260098639686
B1,178.34156916521962,-19.69564103577205,2.6762952068379744,101.62381409123638
B2,245.93324039614612,-25.258898882035336,2.67624517525817,101.62442262156442
B3,379.5211670525848,-36.25410091807308,2.6761462930306457,101.6256253186327
B4,589.5346086368464,-53.53964668779832,2.6759908403828376,101.62751607745213
B5,741.1227830130708,-59.99628404265094,2.6759327744480896,101.62888083141958
B6,827.1989271093101,-59.88195894408253,2.675933802598402,101.62965577814377
B7,1013.8476985878219,-59.6340547260091,2.6759360320545973,101.63133618396992
B8,1067.8863964580112,63.42939711219551,2.6770427682659674,101.63182269637511
B9,1067.8856778594868,263.1335102604822,2.6788387505034184,101.63182268990553
B10,944.4763634024984,324.87405066182527,2.6793939965228586,101.63071163126116
B11,865.9533847011803,325.59778764181095,2.67940050524589,101.63000468596572
B12,725.4940431337061,326.89238473119923,2.679412147837224,101.62874012529363
B13,613.3813631397954,327.9257140034564,2.67942144079063,101.62773077066915
B14,537.4362452650807,328.62569114599927,2.679427735836309,101.62704703395053
B15,453.3092427742341,329.4010797484817,2.6794347090735413,101.62628963542065
B16,384.1799908417007,330.0382358631603,2.679440439156144,101.62566726219642
B17,256.24663220645346,331.2173824537436,2.6794510434761984,101.62451547341416
B18,54.28408189836435,331.8962435060326,2.679457148620316,101.6226971970681
B19,-5.0012837195063895,163.3010833236632,2.6779409359182624,101.6221634487182
