Metric,Group1,Group2,Mean_Difference,p_adj,Lower,Upper,Significant
Distance,ACO,GA,603.5693394528271,<0.00001,402.1588414279112,804.9798374777429,True
Distance,ACO,NSGAII,623.2689318362202,<0.00001,421.85843381130434,824.679429861136,True
Distance,GA,NSGAII,19.69959238339311,0.97062,-181.71090564152274,221.11009040830896,False
Elevation,ACO,GA,0.24887971422784017,0.00001,0.1284159200632224,0.36934350839245794,True
Elevation,ACO,NSGAII,0.04237676871222951,0.68118,-0.07808702545238826,0.16284056287684728,False
Elevation,GA,NSGAII,-0.20650294551561066,0.00027,-0.32696673968022844,-0.0860391513509929,True
Turning,ACO,GA,-45.397861216743856,<0.00001,-52.122487110743094,-38.67323532274462,True
Turning,ACO,NSGAII,-21.052971493420827,<0.00001,-27.77759738742007,-14.328345599421585,True
Turning,GA,NSGAII,24.34488972332303,<0.00001,17.620263829323786,31.06951561732227,True
