Algorithm,Metric,N,Mean,Standard_Deviation
ACO,Distance,35,1138.5580090625076,156.79180011546654
ACO,Elevation,35,0.5176720805456615,0.16442744949522511
ACO,Turning,35,56.82601272549446,10.707746789943009
GA,Distance,35,1147.593224337324,157.0343569493622
GA,Elevation,35,0.5088496871257712,0.16264478871951013
GA,Turning,35,60.71705690024823,10.554488765575206
NSGAII,Distance,35,1148.0326521804218,155.26920429181084
NSGAII,Elevation,35,0.47810551149079744,0.15236513184361783
NSGAII,Turning,35,60.232922926325095,10.969599910665755
