Map,Cluster,Algorithm,Run,Distance,Elevation,Turning
Map1,1,NSGAII,1,1430.7212798736136,0.25911223179839205,72.4424114973221
Map1,2,NSGAII,1,1923.3017545186588,0.45083743229138484,86.22302409001492
Map1,3,NSGAII,1,1875.720850290382,0.3725298553914076,92.33251008262538
Map1,4,NSGAII,1,1713.9634031470184,0.3727242395630235,82.9486593659962
Map1,5,NSGAII,1,2008.9508189494697,0.4399105226983444,86.86397920307012
Map1,6,NSGAII,1,1644.3242626346187,0.3262500195951574,86.37311231736591
Map1,7,NSGAII,1,2214.282653201001,0.33471109856454007,89.51814770786723
Map1,8,NSGAII,1,1549.9519904318122,0.4581097792390203,79.8655054007343
Map1,9,NSGAII,1,1870.4437895492385,0.8521481578896672,79.79271087714898
Map1,10,NSGAII,1,1574.20306532369,0.8669461354315757,64.39569380336832
Map1,11,NSGAII,1,2250.488202073884,0.25118754532324594,74.95176346146854
Map1,12,NSGAII,1,1750.4766021868604,0.2480007286307231,74.21058367057854
Map1,13,NSGAII,1,2351.4283577386236,0.37471447580536044,92.6491027873755
Map1,14,NSGAII,1,2083.320317560602,0.44036098879390195,80.78573630337678
Map1,15,NSGAII,1,2101.56614350581,0.37417341011296834,74.47256528423952
Map1,16,NSGAII,1,1729.312450022006,0.28873504506743153,97.00164892683766
Map1,1,NSGAII,2,2684.5978337498013,0.555592486792186,85.14561171750834
Map1,2,NSGAII,2,2133.2675058531495,0.48658523482086835,89.22488357966427
Map1,3,NSGAII,2,2063.5502283459828,0.3206465697653389,89.47609864704107
Map1,4,NSGAII,2,2370.560107663582,0.43472696674585976,93.32375363145151
Map1,5,NSGAII,2,2573.247561991032,0.7151154740728884,95.68942972194253
Map1,6,NSGAII,2,1744.4742648369138,0.32641188755241757,84.77044818147655
Map1,7,NSGAII,2,2514.8014492277275,0.44154418186170474,94.51790576766739
Map1,8,NSGAII,2,1679.9969351548289,0.6039314082384379,78.68873731640339
Map1,9,NSGAII,2,1810.3666180343882,0.834764971450122,72.93138699554117
Map1,10,NSGAII,2,1342.0147990505043,0.6617064152715386,56.93030409602627
Map1,11,NSGAII,2,2213.5953685498735,0.3435869278687793,82.81936511029829
Map1,12,NSGAII,2,1819.440308965107,0.32632494242642096,86.84312722893452
Map1,13,NSGAII,2,2340.617759633083,0.46515887970676495,85.57706455802861
Map1,14,NSGAII,2,2522.6199154528604,0.6288422478105904,101.39784051672342
Map1,15,NSGAII,2,2116.1252143578035,0.33769627228604016,84.46412394181098
Map1,1,NSGAII,3,2554.7884370477586,0.5930435799574045,93.7438979742715
Map1,2,NSGAII,3,1841.6146691039276,0.43270406535054384,74.49349479690046
Map1,3,NSGAII,3,2065.406457350511,0.3014541493010956,72.09512302696353
Map1,4,NSGAII,3,2017.0744843205969,0.4399542418690139,100.38371481722855
Map1,5,NSGAII,3,2413.100692231738,0.6980733320147898,93.17131581303403
Map1,6,NSGAII,3,1919.0797297798802,0.40613266653141267,77.13155944312427
Map1,7,NSGAII,3,2381.202174607029,0.35370086320974536,87.48956505311186
Map1,8,NSGAII,3,1876.9591068251764,0.4110188187705699,79.4183601926479
Map1,9,NSGAII,3,1426.7827218737552,0.4559562305774616,71.93739771817984
Map1,10,NSGAII,3,1647.7365497738724,0.7341291932518708,88.41253161869979
Map1,11,NSGAII,3,1911.3617458435056,0.9320144711627627,89.22189648435945
Map1,12,NSGAII,3,2663.440547109265,0.36048986769142566,95.32350567022445
Map1,13,NSGAII,3,2380.2688070960253,0.5275964115033123,102.32505622996881
Map1,14,NSGAII,3,2345.866780887886,0.4528557002594802,95.12639282512716
Map1,15,NSGAII,3,2056.2986990297345,0.3711959671003786,87.68360597101893
Map1,1,NSGAII,4,2564.8719583464494,0.6075952932944073,90.96928939766619
Map1,2,NSGAII,4,1692.063083143051,0.3424442793089799,77.3065393375755
Map1,3,NSGAII,4,2545.9722756958354,0.46822845314957284,91.07915716408459
Map1,4,NSGAII,4,2186.393261081965,0.45207540816519654,94.53651041084034
Map1,5,NSGAII,4,2434.7183815891085,0.6436214622385599,90.58980686216374
Map1,6,NSGAII,4,1931.6800167562137,0.4056559381544762,83.64545661865884
Map1,7,NSGAII,4,2530.794384808694,0.45611850101295204,77.71903303800948
Map1,8,NSGAII,4,2013.404923365188,0.5187162998156065,92.16789103647392
Map1,9,NSGAII,4,1628.865189529338,0.5123703332935374,74.08854239745192
Map1,10,NSGAII,4,1898.9268624026145,0.9311507586175853,79.19422965970637
Map1,11,NSGAII,4,1490.3060855342853,0.779233297563799,89.59539578620561
Map1,12,NSGAII,4,2464.425543154768,0.3456958769754248,93.16531106081639
Map1,13,NSGAII,4,2338.061108238515,0.4062674292596302,87.88907651176251
Map1,14,NSGAII,4,2458.731402829925,0.5426447948754181,116.79394567989938
Map1,15,NSGAII,4,2178.6154338250794,0.3497970112367046,76.52737550326586
Map1,1,NSGAII,5,2479.9729148385,0.5252205994352899,106.36983420362756
Map1,2,NSGAII,5,2360.3838964102583,0.509997821659546,89.23523017221248
Map1,3,NSGAII,5,2361.333193978,0.3790266252811616,85.32271847083082
Map1,4,NSGAII,5,1986.4315250048064,0.5432491059454314,88.69139269507285
Map1,5,NSGAII,5,2941.2800371966455,0.8619518573615892,100.98320794853042
Map1,6,NSGAII,5,1744.368075748279,0.40784808271973105,77.00509291357422
Map1,7,NSGAII,5,2640.4060110828186,0.4521471832705046,94.60930060958756
Map1,8,NSGAII,5,1627.931541282205,0.5157686528643328,70.73306928264921
Map1,9,NSGAII,5,1952.9048368149338,1.0977846727298353,79.65985694300946
Map1,10,NSGAII,5,1586.9322599438774,0.8096836705572663,64.04466815584547
Map1,11,NSGAII,5,2495.1590176432983,0.43997811761714267,82.9732569934353
Map1,12,NSGAII,5,1720.5551876789102,0.2962127336888525,76.66996106343578
Map1,13,NSGAII,5,2349.5562044658705,0.423883997954869,89.3681839401132
Map1,14,NSGAII,5,2423.127111785775,0.5678299760763892,102.79376662546142
