Scope,Metric,N_Blocks,F_value,DF1,DF2,GG_Epsilon,GG_DF1,GG_DF2,p_uncorrected,p_GG,p_GG_Holm_All_Scopes,Significant
Overall,Distance,35,27.3179714601,2,68,0.847467374282,1.69493474856,57.6277814512,1.96019237232e-09,2.51517672105e-08,1.50910603263e-07,True
Overall,Elevation,35,68.5649702627,2,68,0.831861236162,1.66372247232,56.566564059,4.96952857712e-17,1.47054265274e-14,1.32348838746e-13,True
Overall,Turning,35,44.6442086093,2,68,0.846869679124,1.69373935825,57.5871381805,4.14585203184e-13,1.8959780648e-11,1.51678245184e-10,True
Map1,Distance,15,16.1353142323,2,28,0.865458199917,1.73091639983,24.2328295977,2.18138517945e-05,6.46018610806e-05,0.000236986314087,True
Map1,Elevation,15,18.2492415878,2,28,0.783119258269,1.56623851654,21.9273392315,8.44343996406e-06,5.92465785219e-05,0.000236986314087,True
Map1,Turning,15,12.3841926204,2,28,0.813801707256,1.62760341451,22.7864478032,0.00014027464381,0.000455844893233,0.000678139267529,True
Map2,Distance,20,12.1443906219,2,38,0.792113617175,1.58422723435,30.1003174527,8.35798332002e-05,0.000339069633764,0.000678139267529,True
Map2,Elevation,20,56.3690956222,2,38,0.881571456884,1.76314291377,33.4997153616,4.26231596597e-12,6.44003616914e-11,4.5080253184e-10,True
Map2,Turning,20,34.1603104552,2,38,0.777420998436,1.55484199687,29.5419979406,3.23709731585e-09,1.26095915583e-07,6.30479577914e-07,True
